Battleground States Spread (D)-Blue (R)-Red,States,Spread,Biden,Trump
General,https://www.realclearpolitics.com/epolls/2020/president/us/general_election_trump_vs_biden-6247.html
Florida,https://www.realclearpolitics.com/epolls/2020/president/fl/florida_trump_vs_biden-6841.html
Pennsylvania,https://www.realclearpolitics.com/epolls/2020/president/pa/pennsylvania_trump_vs_biden-6861.html
Michigan,https://www.realclearpolitics.com/epolls/2020/president/mi/michigan_trump_vs_biden-6761.html
Wisconsin,https://www.realclearpolitics.com/epolls/2020/president/wi/wisconsin_trump_vs_biden-6849.html
North Carolina,https://www.realclearpolitics.com/epolls/2020/president/nc/north_carolina_trump_vs_biden-6744.html
Arizona,https://www.realclearpolitics.com/epolls/2020/president/az/arizona_trump_vs_biden-6807.html
Ohio,https://www.realclearpolitics.com/epolls/2020/president/oh/ohio_trump_vs_biden-6765.html
Texas,https://www.realclearpolitics.com/epolls/2020/president/tx/texas_trump_vs_biden-6818.html
Virginia,https://www.realclearpolitics.com/epolls/2020/president/va/virginia_trump_vs_biden-6988.html